well_id,production_date,field_name,oil_bbl,gas_mcf,water_bbl
WELL-001,2026-08-01,Eagle Ridge,412,1180,96
WELL-002,2026-08-01,Eagle Ridge,388,1042,88
WELL-003,2026-08-01,Cedar Flats,517,1435,131
WELL-004,2026-08-01,Cedar Flats,290,802,74
WELL-005,2026-08-01,Bitter Creek,634,1790,158
WELL-001,2026-08-01,Eagle Ridge,412,1180,96
WELL-001,2026-08-01,Eagle Ridge,418,1180,96
WELL-001,2026-08-02,Eagle Ridge,405,1163,94
WELL-002,2026-08-02,Eagle Ridge,391,1055,90
WELL-003,2026-08-02,Cedar Flats,522,1448,133
WELL-004,2026-08-02,Cedar Flats,285,795,72
WELL-004,2026-08-02,Cedar Flats,285,795,72
WELL-004,2026-08-02,Cedar Flats,285,795,71
WELL-005,2026-08-02,Bitter Creek,629,1776,155
